,Name,DrinkType,Category,Glass,IBA,Recipe,Ingredients,Measure
790,,,,,,,Apple,2 
791,,,,,,,Brown sugar,
792,,,,,,,,12 oz 
793,,,,,,,Carrot,1 large 
795,,,,,,,Apple schnapps,
799,,,,,,,Champagne,4 fifth 
801,,,,,,,Chambord raspberry liqueur,
803,,,,,,,,1/2 oz Bacardi 
805,,,,,,,Rumple Minze,
807,,,,,,,Jim Beam,
810,,,,,,,,Fill with 
812,,,,,,,,0.75 oz 
813,,,,,,,Frangelico,
814,,,,,,,Strawberry liqueur,
816,,,,,,,Lemon peel,1 twist of 
819,,,,,,,Ice," cubes
"
820,,,,,,,,0.5 oz 
822,,,,,,,,1 tsp 
825,,,,,,,Lemon Juice,1/4 Shot
828,,,,,,,Tonic water,
829,,,,,,,Orange,Juice of 1/4 
830,,,,,,,Orange Juice,
832,,,,,,,Anise,50 ml pure 
835,,,,,,,Coconut liqueur,
836,,,,,,,Sprite,
838,,,,,,,Ginger ale,
839,,,,,,,,Top up with
842,,,,,,,Heavy cream,
844,,,,,,,Creme de Cassis,
847,,,,,,,Soda Water,"Top up with
"
848,,,,,,,,"
"
854,,,,,,,,Juice of 1 
858,,,,,,,Pineapple juice,
859,,,,,,,,1 1/2 
860,,,,,,,Sloe gin,
861,,,,,,,Yellow Chartreuse,
867,,,,,,,Blackberry brandy,
868,,,,,,,Kummel,
869,,,,,,,Egg white,
870,,,,,,,Coffee,8 oz 
872,,,,,,,Guava juice,
874,,,,,,,Apricot,
876,,,,,,,Club soda,
882,,,,,,,,1/4 cl 
883,,,,,,,Cider,1/2 cup 
885,,,,,,,Whipped cream,Chilled 
886,,,,,,,,Twist of 
888,,,,,,,Allspice,1 cracked 
891,,,,,,,,6 oz frozen 
894,,,,,,,Cinnamon,3 dashes 
899,,,,,,,,1 fifth 
921,,,,,,,Maraschino cherry,
922,,,,,,,Strawberries,5 
924,,,,,,,Hot chocolate,
925,,,,,,,,1/8 Shot
929,,,,,,,Cherry,
930,,,,,,,Angostura Bitters,
932,,,,,,,Licorice root,
933,,,,,,,Bitter lemon,
937,,,,,,,,Top it up with 
938,,,,,,,,Add 
940,,,,,,,,Fill to top 
942,,,,,,,Milk,
944,,,,,,,Fresh Lemon Juice,1/8 shot 
945,,,,,,,,1/2 part 
946,,,,,,,,10 tsp 
959,,,,,,,,4 cl hot 
962,,,,,,,Nutmeg,
965,,,,,,,Cream,
972,,,,,,,,1 1/2 tblsp 
974,,,,,,,Almond flavoring,
981,,,,,,,,Add splash 
983,,,,,,,,Add 1/2 cup 
986,,,,,,,Orange peel,
988,,,,,,,,1 one-inch 
999,,,,,,,,4 L 
1003,,,,,,,Cointreau,
1022,,,,,,,Schweppes Russchian,
1032,,,,,,,Wormwood,
1036,,,,,,,,1 slice 
1042,,,,,,,Egg White,1/2 Fresh
1045,,,,,,,Fruit,
1050,,,,,,,Fresh Lime Juice,1/4 shot
1072,,,,,,,Pineapple,1 1/2 cup 
1074,,,,,,,Grain alcohol,1/2 cup pure 
1088,,,,,,,,3-6 crushed 
1091,,,,,,,Cloves,6 whole 
1099,,,,,,,,1/2 gal 
1141,,,,,,,Mint,
1150,,,,,,,Sugar Syrup,
1188,,,,,,,Coriander,1/8 tsp powdered 
1208,,,,,,,,1-2 dash 
1245,,,,,,,Salt,1-3 pint 
1272,,,,,,,,3-4 cups 
1288,,,,,,,Marjoram leaves,1 tblsp fresh chopped 
1291,,,,,,,,1 tsp ground 
1303,,,,,,,Vanilla ice-cream,
1308,,,,,,,Bitters,1 wedge 
1345,,,,,,,Fruit juice,
1374,,,,,,,,3 drops yellow 
1388,,,,,,,,1.5 cup 
1391,,,,,,,,3 sticks 
1474,,,,,,,,6 drops red 
1488,,,,,,,,1/2 cup granulated 
1500,,,,,,,"['Creme de Cacao', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Vodka', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1 oz white ', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1 oz ', ' ', ' ', ' ', ' ', ' ', 'Unfilled', 'Unfilled']"
1501,,,,,,,"['Absolut Kurant', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Grand Marnier', 'Chambord raspberry liqueur', 'Midori melon liqueur', 'Malibu rum', 'Amaretto', 'Cranberry juice', 'Pineapple juice', 'Unfilled']","['1/2 oz ', ' ', ' ', ' ', ' ', 'Unfilled', 'Unfilled', '1/4 oz ', '1/4 oz ', '1/4 oz ', '1/4 oz ', '1/4 oz ', '1/2 oz ', '1/4 oz ', ' ']"
1502,,,,,,,"['Lager', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Tequila', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['16 oz ', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1.5 oz ', ' ', ' ', ' ', ' ', ' ', 'Unfilled', 'Unfilled']"
1503,,,,,,,"['Malibu rum', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Light rum', '151 proof rum', 'Dark Creme de Cacao', 'Cointreau', 'Milk', 'Coconut liqueur', 'Vanilla ice-cream', 'Unfilled']","['1/2 oz ', ' ', ' ', ' ', ' ', 'Unfilled', 'Unfilled', '1/2 oz ', '1/2 oz Bacardi ', '1 oz ', '1 oz ', '3 oz ', '1 oz ', '1 cup ', ' ']"
1504,,,,,,,"['Dark rum', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Light rum', 'Vodka', 'Orange juice', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1 shot ', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '2 shots ', '1 shot ', '1 shot ', ' ', ' ', ' ', ' ', ' ']"
1505,,,,,,,"['Goldschlager', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Jägermeister', 'Rumple Minze', '151 proof rum', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1/2 oz ', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1/2 oz ', '1/2 oz ', '1/2 oz Bacardi ', ' ', ' ', ' ', ' ', ' ']"
1506,,,,,,,"['151 proof rum', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Wild Turkey', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1/2 shot Bacardi ', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1/2 shot ', ' ', ' ', ' ', ' ', ' ', 'Unfilled', 'Unfilled']"
1507,,,,,,,"['Jack Daniels', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Johnnie Walker', 'Jim Beam', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1/3 oz ', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1/3 oz ', '1/3 oz ', ' ', ' ', ' ', ' ', ' ', 'Unfilled']"
1508,,,,,,,"['Gin', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Light rum', 'Tequila', 'Triple sec', 'Vodka', 'Coca-Cola', 'Sweet and sour', 'Bitters', 'Lemon']","['1/2 oz ', ' ', ' ', ' ', ' ', 'Unfilled', 'Unfilled', '1/2 oz ', '1/2 oz ', '1/2 oz ', '1/2 oz ', '\n', '1-2 dash ', '1 wedge ', ' ']"
1509,,,,,,,"['Peach Vodka', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Coca-Cola', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['2-3 oz', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']"
1510,,,,,,,"['Vanilla vodka', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Grand Marnier', 'Orange juice', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['2 1/2 oz ', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1 splash ', 'Fill with ', ' ', ' ', ' ', ' ', ' ', 'Unfilled']"
1511,,,,,,,"['Blue Curacao', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, 'Blueberry schnapps', 'Vodka', 'Sour mix', '7-Up', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['\n', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '\n', '\n', '\n', '\n', '\n', '\n', '\n', 'Unfilled']"
1512,,,,,,,"['Gin', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, '7-Up', 'Lemon juice', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['2 oz dry ', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '4 oz ', '0.75 oz ', ' ', ' ', ' ', ' ', ' ', 'Unfilled']"
1513,,,,,,,"['Kahlua', 'Unfilled', 'Unfilled', 'Unfilled', -1.0, -1.0, -1.0, ""Bailey's irish cream"", 'Frangelico', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled']","['1/3 part ', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', 'Unfilled', '1/3 part ', '1/3 part ', ' ', ' ', ' ', ' ', ' ', 'Unfilled']"
