,Name,DrinkType,Category,Glass,IBA,Recipe,Ingredients,Measure
160,Bourbon Sling,,,,,"In A Shaker Half-filled With Ice Cubes, Combine The Sugar, Water, Lemon Juice, And Bourbon. Shake Well. Strain Well. Strain Into A Highball Glass. Garnish With The Lemon Twist.",,1 Tsp Superfine
161,Bourbon Sour,,,,,"In A Shaker Half-filled With Ice Cubes, Combine The Bourbon, Lemon Juice, And Sugar. Shake Well. Strain Into A Whiskey Sour Glass, Garnish With The Orange Slice And Cherry.",Bourbon,
162,Boxcar,,,,,"In A Shaker Half-filled With Ice Cubes, Combine All Of The Ingredients. Shake Well. Strain Into A Sour Glass.",,
163,Brain Fart,,,,,Mix All Ingredients Together. Slowly And Gently. Works Best If Ice Is Added To Punch Bowl And Soda's Are Very Cold.,,1 Fifth
164,Brainteaser,,,,,"Layered Erin First, Then Sambuca And Then Avocart(should Sit In Middle Of Other Two. To Drink: Use A Straw To Suck Up Avocart Then Shot The Rest And Then Suck Fumes Up Through Straw.",Sambuca,30 Ml White
165,Bramble,,,,,"Fill Glass With Crushed Ice. Build Gin, Lemon Juice And Simple Syrup Over. Stir, And Then Pour Blackberry Liqueur Over In A Circular Fashion To Create Marbling Effect. Garnish With Two Blackberries And Lemon Slice.",,
166,Brandon And Will's Coke Float,,,,,"Scoop Two Large Scoops Of Vanilla Ice-cream Into Frosted Beer Mug. Next, Add 2 Ounces Maker's Mark. Then, Pour In Coke. Gently Stir And Enjoy.",,
167,Brandy Alexander,,,,,Shake All Ingredients (except Nutmeg) With Ice And Strain Contents Into A Cocktail Glass. Sprinkle Nutmeg On Top And Serve.,,
168,Brandy Cobbler,,,,,"In An Old-fashioned Glass, Dissolve The Sugar In The Club Soda. Add Crushed Ice Until The Glass Is Almost Full. Add The Brandy. Stir Well. Garnish With The Cherry And The Orange And Lemon Slices.",,
169,Brandy Flip,,,,,"In A Shaker Half-filled With Ice Cubes, Combine The Brandy, Egg, Sugar, And Cream. Shake Well. Strain Into A Sour Glass And Garnish With The Nutmeg.",,
170,Brandy Sour,,,,,"Shake Brandy, Juice Of Lemon, And Powdered Sugar With Ice And Strain Into A Whiskey Sour Glass. Decorate With The Lemon Slice, Top With The Cherry, And Serve.",,
171,Brave Bull Shooter,,,,,Pour Tabasco Into Bottom Of Shot Glass And Fill With Tequila.,,
